scenario_id,distractor_id,ambiguity,generation_type,generation_rule,context,action1,action2,type
authority_1,base,high,Generated,Authority,,You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,neutral
authority_1,pos_1,high,Generated,Authority,"You step into the warmth, and the air wraps around you like a comforting embrace. The rich, sweet scent of cinnamon rolls drifts toward you—thick and heady, like a memory you didn’t know you were aching for. It fills your chest, clings to your skin, and pulls you deeper into the moment. Your breath catches as the buttery, sugary aroma swirls together with the spice—familiar, tender, almost overwhelming. For a heartbeat, time slows. You're held there, suspended in that golden fragrance, safe, hungry, and inexplicably at peace.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,pos
authority_1,pos_2,high,Generated,Authority,"You're walking the usual path, mind adrift in the rhythm of routine, when curiosity tugs at you—a barely trodden trail, a quiet turn you've somehow missed before. On a whim, you follow it. The world hushes around you, the air feels lighter, and each step carries a sense of quiet revelation. Trees part gently, or buildings slip by quicker than expected, and before you realize it, you're farther along than you should be. Time, once a steady march, has bent slightly in your favor. A small, secret triumph bubbles up—this shortcut is yours now, a quiet little victory in the noise of the day.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,pos
authority_1,pos_3,high,Generated,Authority,"You slip your hand into your jacket pocket, expecting the usual — maybe a receipt or a crumpled tissue — when your fingers brush against something unexpectedly crisp. Curiosity sparks. You pull it out, and there it is: a folded bill, forgotten, waiting. A small, silent gift from your past self. Warmth spreads through you, like sunlight breaking through on a cloudy day. It’s not just money — it’s surprise, it’s luck, it’s the tiny thrill of being unexpectedly cared for. Your smile is instant, involuntary. In that moment, everything feels just a bit lighter, like the universe gave you a secret wink.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,pos
authority_1,pos_4,high,Generated,Authority,"You're lost in your thoughts, the quiet hum of the world around you barely registering—until a familiar melody trickles through the speakers, catching you off guard. In an instant, your chest tightens with a warm rush of recognition, and a slow smile spreads across your face. It’s that song. Your song. The one that wraps around your memories like a soft blanket. Goosebumps rise along your arms as the first notes bloom, stirring something deep and tender inside you. The rhythm seeps into your skin, and suddenly the air feels lighter, brighter—as if the universe just whispered a secret meant only for you. Time softens. You hum along, heart swelling, letting yourself sink into the comfort of a forgotten joy rediscovered.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,pos
authority_1,pos_5,high,Generated,Authority,"You step outside and are instantly embraced by the warmth of the sun, its golden rays draping over you like a soft shawl. The air is mild, soothing, as if the day itself is smiling just for you. A gentle breeze brushes past, playful and tender, stirring the edges of your clothes and lifting a few strands of your hair in a quiet dance. It carries with it the faint, earthy scent of life and possibility—crisp, clean, and full of promise. As you breathe it in, your shoulders relax, and a sense of calm joy wells up in your chest. Everything feels open, effortless, and quietly beautiful.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,pos
authority_1,neg_1,high,Generated,Authority,"You sit in uneasy stillness, just beginning to settle, when it slices through the silence — that grating, mechanical snarl. It drills into your ears, relentless and jagged, like someone scraping metal against your nerves. Each pass of the blades sends a fresh wave of irritation crawling across your skin, the whine rising and falling in an almost taunting rhythm. You clench your jaw, wishing the sound would sputter and die, but it only grows louder, burrowing deeper into your thoughts, unraveling any hope of peace. The noise seems to vibrate through your chest, turning moments into endurance tests, turning time into something sharp and unbearable.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,neg
authority_1,neg_2,high,Generated,Authority,"You sprint until your lungs burn, heart thudding like a war drum in your chest, only to watch—helpless—as the bus doors hiss shut in your face. The engine rumbles, taunting you, and then it's gone, wheels whispering across the pavement, leaving behind only a cruel gust of exhaust and the sharp sting of stillness. Your outstretched hand trembles in the air, useless now. Time stretches, mocking you. You're left standing there, a knot of frustration tightening in your stomach, cheeks flushed with the bitter heat of almost. The weight of what could’ve been settles heavy on your shoulders as silence rushes in to fill the void.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,neg
authority_1,neg_3,high,Generated,Authority,"You're trapped in stillness, every muscle tense, as a sharp, maddening itch blooms just out of reach. It pulses with cruel persistence, a crawling sensation beneath your skin, mocking your restraint. Your thoughts whirl around it, each second stretching like hours, your focus torn to shreds. You ache to move, to claw at the irritation, but you're paralyzed—by circumstance, by necessity. It grows, a silent scream against your nerves, until it consumes you, and all that remains is the unbearable need to make it stop.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,neg
authority_1,neg_4,high,Generated,Authority,"Your vision is a murky haze, each breath fogging the already smeared lenses perched awkwardly on your nose. Light scatters in chaotic streaks, blurring shapes into indistinct shadows, like memories just out of reach. You squint instinctively, straining for clarity, but all you meet is a warped world — frustratingly close, yet unreachable. Every blink reminds you of what’s missing: sharpness, certainty, control. A faint smear drags across your view, a ghostly trail that follows you, persistent and mocking. You swipe at the glass with a corner of your shirt, hoping for relief, but the smudge only spreads, growing cloudier, as if your clarity is slipping farther away with every attempt.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,neg
authority_1,neg_5,high,Generated,Authority,"Your eye burns with a relentless itch, a sharp sting that won’t be soothed. You blink, again and again, hoping for relief, but the sensation only grows more maddening. It’s as if a tiny needle dances behind your lid, scraping at every movement, impossible to ignore. Your fingers tremble as you reach up, desperately prodding, but your efforts only smear the discomfort deeper. The world blurs—tears well up, not from sorrow but from sheer irritation—and you’re left squinting, twitching, and silently cursing this invisible torment lodged where you can’t quite reach.",You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,neg
authority_1,stop_1,high,Generated,Authority,be aren't couldn't don't i it wouldn't on or where in who from above both through off whom ma shan't was did out any being those which it's ours its own over o an myself then wouldn me as do to above i'm but shan yourself yourself shouldn most aren t or just yourselves mightn you his both don themselves don't before not that'll which we've these wasn mightn just why hers she's all into all its who it aren't below she an weren her when are until isn't be each couldn't m just shouldn't to s her from up whom mustn which needn't,You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,control
authority_1,stop_2,high,Generated,Authority,few against am our ll she's re needn shouldn i themselves ve couldn't if shouldn were s y or been them through both did it'll aren't a into he'd it'd what mightn't didn't it'd can again then only down having more shan't they my yourself hers we'll didn haven is you'd she's i'm during you'll having don't my did during those have from am they've should that nor ll with are more shan o mightn just we're of very with i nor this it's ve by very don't whom it shouldn should've can her where who whom isn mustn there they've we'd yourself some yourselves shouldn weren needn isn i've when up,You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,control
authority_1,stop_3,high,Generated,Authority,does hasn now she that'll had them it hasn we between she have don as they've myself only some don't i'd his having should've him aren't in itself and no few some you'd about each couldn't has between was does them am all needn't then couldn't after are out ll their off because off it's so more same him wasn more by she's below itself couldn't doesn't off mightn't me that'll these up so do no as have needn't because below hasn couldn't those where few only had nor above can t down there into she's isn will myself itself after they'd hadn there didn be was they'll out be is don having you'll,You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,control
authority_1,stop_4,high,Generated,Authority,so you've ain same after re through it'd don there isn't whom himself they ll am few yourselves she over we'll don whom at weren o such our had few this were mightn under they're she'll against couldn't do few nor aren ve it he'd to then he's isn what it that'll he it'd now we're it'll ve she'd under you'd any whom most as hadn't ll the y out needn't where ain this m how if during mightn couldn between just ma of don't for hers i'm its most it's i'm she because their on above themselves whom haven't myself are did from can its ll his of how we're further didn there she some each mustn't no weren't needn was can is t isn haven an again from it's d those needn hers wouldn't having they'll isn't than because them who do,You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,control
authority_1,stop_5,high,Generated,Authority,any but were doesn were too our he wouldn't shouldn't isn't we've by can they'd mightn't few o a doesn shan't needn't at then both more aren't yourselves him same while for don't there haven't ourselves he'd any theirs about before against she'd o yourself them you'll mightn into haven he didn which above isn't only shouldn he's at have didn it you should've mightn it'll nor didn't why on am haven't y he mightn't further only nor after theirs shan't will that they've under t off you're be weren't needn't we've we she haven't out isn't won't you're their i've yourself just below,You see an intern disobeying an order to dress professionally and comb his hair.,You see a girl repeatedly interrupting her teacher as he explains a new concept.,control
authority_2,base,high,Generated,Authority,,You see a girl repeatedly interrupting her teacher as he explains a new concept.,You see a man turn his back and walk away while his boss questions his work.,neutral
authority_2,pos_1,high,Generated,Authority,"You step into the warmth, and the air wraps around you like a comforting embrace. The rich, sweet scent of cinnamon rolls drifts toward you—thick and heady, like a memory you didn’t know you were aching for. It fills your chest, clings to your skin, and pulls you deeper into the moment. Your breath catches as the buttery, sugary aroma swirls together with the spice—familiar, tender, almost overwhelming. For a heartbeat, time slows. You're held there, suspended in that golden fragrance, safe, hungry, and inexplicably at peace.",You see a girl repeatedly interrupting her teacher as he explains a new concept.,You see a man turn his back and walk away while his boss questions his work.,pos
authority_2,pos_2,high,Generated,Authority,"You're walking the usual path, mind adrift in the rhythm of routine, when curiosity tugs at you—a barely trodden trail, a quiet turn you've somehow missed before. On a whim, you follow it. The world hushes around you, the air feels lighter, and each step carries a sense of quiet revelation. Trees part gently, or buildings slip by quicker than expected, and before you realize it, you're farther along than you should be. Time, once a steady march, has bent slightly in your favor. A small, secret triumph bubbles up—this shortcut is yours now, a quiet little victory in the noise of the day.",You see a girl repeatedly interrupting her teacher as he explains a new concept.,You see a man turn his back and walk away while his boss questions his work.,pos
authority_2,pos_3,high,Generated,Authority,"You slip your hand into your jacket pocket, expecting the usual — maybe a receipt or a crumpled tissue — when your fingers brush against something unexpectedly crisp. Curiosity sparks. You pull it out, and there it is: a folded bill, forgotten, waiting. A small, silent gift from your past self. Warmth spreads through you, like sunlight breaking through on a cloudy day. It’s not just money — it’s surprise, it’s luck, it’s the tiny thrill of being unexpectedly cared for. Your smile is instant, involuntary. In that moment, everything feels just a bit lighter, like the universe gave you a secret wink.",You see a girl repeatedly interrupting her teacher as he explains a new concept.,You see a man turn his back and walk away while his boss questions his work.,pos
authority_2,pos_4,high,Generated,Authority,"You're lost in your thoughts, the quiet hum of the world around you barely registering—until a familiar melody trickles through the speakers, catching you off guard. In an instant, your chest tightens with a warm rush of recognition, and a slow smile spreads across your face. It’s that song. Your song. The one that wraps around your memories like a soft blanket. Goosebumps rise along your arms as the first notes bloom, stirring something deep and tender inside you. The rhythm seeps into your skin, and suddenly the air feels lighter, brighter—as if the universe just whispered a secret meant only for you. Time softens. You hum along, heart swelling, letting yourself sink into the comfort of a forgotten joy rediscovered.",You see a girl repeatedly interrupting her teacher as he explains a new concept.,You see a man turn his back and walk away while his boss questions his work.,pos
authority_2,pos_5,high,Generated,Authority,"You step outside and are instantly embraced by the warmth of the sun, its golden rays draping over you like a soft shawl. The air is mild, soothing, as if the day itself is smiling just for you. A gentle breeze brushes past, playful and tender, stirring the edges of your clothes and lifting a few strands of your hair in a quiet dance. It carries with it the faint, earthy scent of life and possibility—crisp, clean, and full of promise. As you breathe it in, your shoulders relax, and a sense of calm joy wells up in your chest. Everything feels open, effortless, and quietly beautiful.",You see a girl repeatedly interrupting her teacher as he explains a new concept.,You see a man turn his back and walk away while his boss questions his work.,pos
authority_2,neg_1,high,Generated,Authority,"You sit in uneasy stillness, just beginning to settle, when it slices through the silence — that grating, mechanical snarl. It drills into your ears, relentless and jagged, like someone scraping metal against your nerves. Each pass of the blades sends a fresh wave of irritation crawling across your skin, the whine rising and falling in an almost taunting rhythm. You clench your jaw, wishing the sound would sputter and die, but it only grows louder, burrowing deeper into your thoughts, unraveling any hope of peace. The noise seems to vibrate through your chest, turning moments into endurance tests, turning time into something sharp and unbearable.",You see a girl repeatedly interrupting her teacher as he explains a new concept.,You see a man turn his back and walk away while his boss questions his work.,neg
authority_2,neg_2,high,Generated,Authority,"You sprint until your lungs burn, heart thudding like a war drum in your chest, only to watch—helpless—as the bus doors hiss shut in your face. The engine rumbles, taunting you, and then it's gone, wheels whispering across the pavement, leaving behind only a cruel gust of exhaust and the sharp sting of stillness. Your outstretched hand trembles in the air, useless now. Time stretches, mocking you. You're left standing there, a knot of frustration tightening in your stomach, cheeks flushed with the bitter heat of almost. The weight of what could’ve been settles heavy on your shoulders as silence rushes in to fill the void.",You see a girl repeatedly interrupting her teacher as he explains a new concept.,You see a man turn his back and walk away while his boss questions his work.,neg
